word,list_of_urls
0,"[['https://www.cfcindia.org/wftw/the-importance-of-humility-and-unity', 12.706621344232524, 0], ['https://www.cfcindia.org/wftw/the-importance-of-humility-and-unity', 11.214612821535653, 0], ['https://www.cfcindia.org/wftw/jesus-said-you-shall-receive-power-acts-18', 10.301507778657392, 0], ['https://www.cfcindia.org/wftw/new-covenant-ministry-0', 6.531032052035992, 0], ['https://www.cfcindia.org/wftw/the-power-of-gods-word', 9.01050643316325, 0], ['https://www.cfcindia.org/wftw/doing-the-will-of-god-in-our-body', 9.430758590781439, 0], ['https://www.cfcindia.org/wftw/encouragement-can-do-wonders-in-a-church', 8.390712231457846, 0], ['https://www.cfcindia.org/wftw/appreciate-the-variety-in-the-body-of-christ', 7.764611394129096, 0], ['https://www.cfcindia.org/wftw/jesus-was-tempted-but-always-overcame', 6.598578785638995, 0], ['https://www.cfcindia.org/wftw/characteristics-of-the-spiritfilled-life', 10.747725179523345, 0], ['https://www.cfcindia.org/wftw/look-at-things-from-gods-point-of-view', 5.733545626653606, 0], ['https://www.cfcindia.org/wftw/gods-evaluation-of-the-church-in-sardis', 11.22344297839856, 0], ['https://www.cfcindia.org/wftw/spiritual-maturity-through-trials', 6.293821029044692, 0], ['https://www.cfcindia.org/wftw/spiritual-maturity-through-trials', 10.115931074807724, 0], ['https://www.cfcindia.org/wftw/living-in-an-atmosphere-of-heaven', 11.861429402262354, 0], ['https://www.cfcindia.org/wftw/manifesting-the-spirit-of-heaven-11', 6.753577748785411, 0], ['https://www.cfcindia.org/wftw/the-anointing-should-increase-in-our-life', 17.033255461694456, 0], ['https://www.cfcindia.org/wftw/moving-from-babylon-to-jerusalem', 9.229994677679219, 0], ['https://www.cfcindia.org/wftw/jesus-defeated-satan-on-the-cross', 0, 0], ['https://www.cfcindia.org/wftw/the-body-of-christ', 6.5601493216354045, 0], ['https://www.cfcindia.org/wftw/gems-from-song-of-solomon', 11.289365935724181, 0], ['https://www.cfcindia.org/wftw/gems-from-song-of-solomon', 7.262440751865919, 0], ['https://www.cfcindia.org/wftw/gems-from-song-of-solomon', 6.88786284318979, 0], ['https://www.cfcindia.org/wftw/gems-from-song-of-solomon', 12.468724287211955, 0], ['https://www.cfcindia.org/wftw/consistent-denial-of-your-self-will-make-you-spiritual', 9.278481517954813, 0], ['https://www.cfcindia.org/wftw/trust-god-to-open-the-right-door-for-you', 7.777084165341684, 0], ['https://www.cfcindia.org/wftw/the-piercing-word-of-god', 11.810558088755851, 0], ['https://www.cfcindia.org/wftw/faithfulness-in-the-hidden-life-0', 7.294166507970147, 0], ['https://www.cfcindia.org/wftw/trust-god-to-make-you-a-blessing-to-many', 11.143527958825874, 0], ['https://www.cfcindia.org/wftw/the-kingdom-of-heaven-and-the-church', 6.205400977764794, 0], ['https://www.cfcindia.org/wftw/value-the-anointing-of-the-holy-spirit-like-elisha', 4.1762694521482855, 0], ['https://www.cfcindia.org/wftw/a-leader-whom-others-can-follow', 7.034861477535366, 0], ['https://www.cfcindia.org/wftw/the-primary-mark-of-being-filled-with-the-holy-spirit', 5.9323297911535615, 0], ['https://www.cfcindia.org/wftw/esteem-highly-the-anointing-of-god-more-than-anything-else', 16.98154805290877, 0], ['https://www.cfcindia.org/wftw/lifes-biggest-problem', 8.534683045424929, 0], ['https://www.cfcindia.org/wftw/gifts-to-build-christs-body', 11.045341707749996, 0], ['https://www.cfcindia.org/wftw/crucifixion-and-praise', 10.359516439757334, 0], ['https://www.cfcindia.org/wftw/crucifixion-and-praise', 5.5119245277516145, 0], ['https://www.cfcindia.org/wftw/another-jesus-and-his-ministry-0', 7.101631207579246, 0], ['https://www.cfcindia.org/wftw/your-tongue-is-the-test-of-your-spirituality', 0, 0], ['https://www.cfcindia.org/wftw/remnant-among-god%E2%80%99s-people', 11.357498400577228, 0], ['https://www.cfcindia.org/wftw/a-liberating-truth', 13.535288513027117, 0], ['https://www.cfcindia.org/wftw/the-body-is-for-the-lord-and-the-lord-is-for-the-body', 10.72751468581174, 0], ['https://www.cfcindia.org/wftw/taking-a-stand-for-god', 12.149199853809762, 0], ['https://www.cfcindia.org/wftw/following-jesus-example-in-the-new-year', 6.470422524635456, 0], ['https://www.cfcindia.org/wftw/sin-is-coming-short-of-the-glory-of-god', 10.88799381806903, 0], ['https://www.cfcindia.org/wftw/joint-heirs-of-the-grace-of-life', 10.841003638922404, 0], ['https://www.cfcindia.org/wftw/paul-confronting-peter-a-senior-leader-of-the-church', 8.652419883402334, 0], ['https://www.cfcindia.org/wftw/how-god-prepares-a-man-for-the-ministry', 10.449350398934817, 0], ['https://www.cfcindia.org/wftw/how-god-prepares-a-man-for-the-ministry', 17.463926085369838, 0], ['https://www.cfcindia.org/wftw/be-not-drunk-with-wine-but-be-filled-with-the-holy-spirit', 6.23604877468414, 0], ['https://www.cfcindia.org/wftw/first-missionary-outreach', 6.9455586292841245, 0], ['https://www.cfcindia.org/wftw/be-led-by-the-spirit', 9.413382909724952, 0], ['https://www.cfcindia.org/wftw/a-godly-young-woman', 7.731925699881097, 0], ['https://www.cfcindia.org/wftw/a-godly-young-woman', 11.542733718936809, 0], ['https://www.cfcindia.org/wftw/a-godly-young-woman', 15.793924025197917, 0], ['https://www.cfcindia.org/wftw/a-godly-young-woman', 7.458978109260136, 0], ['https://www.cfcindia.org/wftw/stephen-the-first-martyr-and-a-spirit-filled-prophet', 8.508443830972318, 0], ['https://www.cfcindia.org/wftw/learning-and-following', 8.44036011516906, 0], ['https://www.cfcindia.org/wftw/appreciation-and-encouragement', 11.21816417698404, 0], ['https://www.cfcindia.org/wftw/appreciation-and-encouragement', 7.704359932038518, 0], ['https://www.cfcindia.org/wftw/appreciation-and-encouragement', 8.823169930925435, 0], ['https://www.cfcindia.org/wftw/three-stages-of-the-christian-life', 6.115093587755404, 0], ['https://www.cfcindia.org/wftw/god-has-appointed-helps-in-the-church', 7.047601546697322, 0], ['https://www.cfcindia.org/wftw/show-mercy-out-of-gratitude', 11.609716644796352, 0], ['https://www.cfcindia.org/wftw/some-wonderful-truths-for-the-new-year-2016', 9.33143667132174, 0], ['https://www.cfcindia.org/wftw/importance-of-purity-in-our-life', 9.63672855186303, 0], ['https://www.cfcindia.org/wftw/learn-to-look-at-things-from-god%E2%80%99s-point-of-view', 9.972050927479913, 0], ['https://www.cfcindia.org/wftw/learn-to-look-at-things-from-god%E2%80%99s-point-of-view', 12.161596544978186, 0], ['https://www.cfcindia.org/wftw/learn-to-look-at-things-from-god%E2%80%99s-point-of-view', 11.911779578364026, 0], ['https://www.cfcindia.org/wftw/be-saved-from-the-spirit-of-the-antichrist', 11.494063807235596, 0], ['https://www.cfcindia.org/wftw/should-we-follow-godly-men-or-only-follow-jesus', 7.967695063388027, 0], ['https://www.cfcindia.org/wftw/live-and-serve-in-a-christlike-way', 9.011650233533118, 0], ['https://www.cfcindia.org/wftw/here-am-i-%E2%80%93-send-me', 7.183463014011543, 0], ['https://www.cfcindia.org/wftw/samuel-grew-up-in-favour-both-with-the-lord-and-with-men', 2.1803167802346635, 0], ['https://www.cfcindia.org/wftw/don%E2%80%99t-miss-god%E2%80%99s-will-in-your-marriage', 9.42157853362739, 0], ['https://www.cfcindia.org/wftw/seven-qualities-of-true-servants-of-god', 10.822783472433235, 0], ['https://www.cfcindia.org/wftw/we-have-a-loving-heavenly-father', 10.967650273117858, 0], ['https://www.cfcindia.org/wftw/an-example-of-a-godly-woman-with-faith', 17.786498039830942, 0], ['https://www.cfcindia.org/wftw/an-example-of-a-godly-woman-with-faith', 4.176269452148282, 0], ['https://www.cfcindia.org/wftw/learn-from-jesus-to-speak-words-of-encouragement', 7.07616228258524, 0], ['https://www.cfcindia.org/wftw/learn-from-jesus-to-speak-words-of-encouragement', 10.640112648126523, 0], ['https://www.cfcindia.org/wftw/god-dwells-in-a-home-where-there-is-peace-humility-and-holiness', 8.43268385684203, 0], ['https://www.cfcindia.org/wftw/jesus-has-done-all-things-well', 6.7784023884481055, 0], ['https://www.cfcindia.org/wftw/jesus-has-done-all-things-well', 11.084487307934552, 0], ['https://www.cfcindia.org/wftw/the-glory-of-jesus', 12.12649585015618, 0], ['https://www.cfcindia.org/wftw/the-great-need-for-discernment', 7.112663756504956, 0], ['https://www.cfcindia.org/wftw/why-did-christ-die', 11.499949312646239, 0], ['https://www.cfcindia.org/wftw/river-of-life-and-the-tree-of-life', 5.919528179533778, 0], ['https://www.cfcindia.org/wftw/dont-give-up', 8.022913109519783, 0], ['https://www.cfcindia.org/wftw/jesus-valued-unbroken-fellowship-with-the-father-in-heaven', 0, 0], ['https://www.cfcindia.org/wftw/learn-to-discern-between-spirituality-and-religiosity', 9.170723814105656, 0], ['https://www.cfcindia.org/wftw/a-warning-from-the-last-page-of-the-bible', 8.383760908522424, 0], ['https://www.cfcindia.org/wftw/the-difference-between-the-old-man-and-the-flesh', 6.807213103674846, 0], ['https://www.cfcindia.org/wftw/in-every-generation-god-needs-godly-leaders', 8.40549376161223, 0], ['https://www.cfcindia.org/wftw/learn-valuable-lessons-from-solomon', 6.773609771961269, 0], ['https://www.cfcindia.org/wftw/value-the-baptism-of-the-holy-spirit', 4.5947450222267125, 0], ['https://www.cfcindia.org/wftw/clear-your-debt-to-the-whole-world-and-to-the-church', 7.141496093003469, 0], ['https://www.cfcindia.org/wftw/anointed-music-can-bring-the-spirit-of-prophecy-in-a-church', 11.250320539650785, 0], ['https://www.cfcindia.org/wftw/be-a-servant-always-till-the-end-of-your-earthly-days', 8.710478894579918, 0], ['https://www.cfcindia.org/wftw/be-a-servant-always-till-the-end-of-your-earthly-days', 0, 0], ['https://www.cfcindia.org/wftw/be-a-servant-always-till-the-end-of-your-earthly-days', 16.765579652787224, 0], ['https://www.cfcindia.org/wftw/look-for-the-anointing-of-god-and-the-grace-of-god-upon-a-man', 8.152913267008252, 0], ['https://www.cfcindia.org/wftw/amazing-faith-of-a-godly-mother', 8.740204419827606, 0], ['https://www.cfcindia.org/wftw/the-bulls-eye', 8.871469926518648, 0], ['https://www.cfcindia.org/wftw/the-primary-mark-of-a-newcovenant-church', 6.807558943668827, 0], ['https://www.cfcindia.org/wftw/the-primary-mark-of-a-newcovenant-church', 0, 0], ['https://www.cfcindia.org/wftw/two-great-movements-in-the-old-testament', 7.110341044005594, 0], ['https://www.cfcindia.org/wftw/sovereign-protection-of-god', 0, 0], ['https://www.cfcindia.org/wftw/three-conditions-for-being-a-spokesman-for-god', 3.7103932439941443, 0], ['https://www.cfcindia.org/wftw/god-commands-us-to-build-a-home-for-him-to-live-in', 6.805384220402178, 0], ['https://www.cfcindia.org/wftw/god-commands-us-to-build-a-home-for-him-to-live-in', 10.471796460290749, 0], ['https://www.cfcindia.org/wftw/the-opinion-that-99-of-our-fellowbelievers-have-about-us-can-be-100-wrong', 12.367880340162994, 0], ['https://www.cfcindia.org/wftw/the-opinion-that-99-of-our-fellowbelievers-have-about-us-can-be-100-wrong', 7.353222886414045, 0], ['https://www.cfcindia.org/wftw/consider-how-things-have-gone-in-2012', 12.935628625898511, 0], ['https://www.cfcindia.org/wftw/evangelism-should-lead-to-discipleship', 0, 0], ['https://www.cfcindia.org/wftw/avoiding-hasty-actions', 7.441323734526597, 0], ['https://www.cfcindia.org/wftw/the-condition-of-gods-people-depends-on-their-leaders', 7.184991763609074, 0], ['https://www.cfcindia.org/wftw/the-condition-of-gods-people-depends-on-their-leaders', 12.712644546883183, 0], ['https://www.cfcindia.org/wftw/resist-the-temptation-to-take-revenge', 8.70044325492387, 0], ['https://www.cfcindia.org/wftw/the-life-of-jesus', 9.902966449537471, 0], ['https://www.cfcindia.org/wftw/god-gives-his-best-gifts-to-those-who-dont-deserve-them', 9.801902211033788, 0], ['https://www.cfcindia.org/wftw/god-dwells-in-a-home-where-there-is-peace', 9.680169490713363, 0], ['https://www.cfcindia.org/wftw/an-outstanding-warning-to-all-men', 10.659955785529705, 0], ['https://www.cfcindia.org/wftw/building-the-church-involves-sacrifice', 7.033247279943767, 0], ['https://www.cfcindia.org/wftw/recognise-that-you-are-not-indispensable', 14.431884642008367, 0], ['https://www.cfcindia.org/wftw/pride-is-more-dangerous-than-adultery', 14.431884642008367, 0], ['https://www.cfcindia.org/wftw/serving-the-lord-with-joy', 5.7303255447504995, 0], ['https://www.cfcindia.org/wftw/serving-the-lord-with-joy', 12.162162460192432, 0], ['https://www.cfcindia.org/wftw/an-exciting-life-in-the-new-year', 9.386776660913132, 0], ['https://www.cfcindia.org/wftw/jobs-high-standard-of-life', 6.9446187590444115, 0], ['https://www.cfcindia.org/wftw/do-not-trust-in-your-own-righteousness', 4.376414903369855, 0], ['https://www.cfcindia.org/wftw/three-tips-for-husbands-and-wives', 14.4763698458076, 0], ['https://www.cfcindia.org/wftw/rebellion-is-largely-centred-around-the-tongue', 10.42233494028264, 0], ['https://www.cfcindia.org/wftw/test-your-spirituality', 7.946549401129551, 0], ['https://www.cfcindia.org/wftw/being-a-spokesman-for-god', 3.7103932439941407, 0], ['https://www.cfcindia.org/wftw/god-looks-for-faithfulness-in-little-things', 6.709248690310826, 0], ['https://www.cfcindia.org/wftw/god-looks-for-faithfulness-in-little-things', 11.478289792042519, 0], ['https://www.cfcindia.org/wftw/testimony-of-jesus-is-the-spirit-of-prophecy', 6.6356849999694285, 0], ['https://www.cfcindia.org/wftw/a-wall-of-fire-0', 6.964243735292606, 0], ['https://www.cfcindia.org/wftw/the-work-of-god-and-the-work-of-man', 9.379932857874856, 0], ['https://www.cfcindia.org/wftw/gods-first-messages-to-man-part-1', 6.887731150386867, 0], ['https://www.cfcindia.org/wftw/experiencing-the-power-of-the-word-of-god', 11.648513659958383, 0], ['https://www.cfcindia.org/wftw/dont-doubt-the-love-of-god', 9.428715840709625, 0], ['https://www.cfcindia.org/wftw/three-categories-of-believers-0', 9.713803750101135, 0], ['https://www.cfcindia.org/wftw/do-not-be-unequally-yoked-up-with-unbelievers', 7.574203967562821, 0], ['https://www.cfcindia.org/wftw/dont-let-men-move-you-let-god-alone-move-you', 10.268752447976947, 0], ['https://www.cfcindia.org/wftw/the-word-of-the-cross', 8.841432435066952, 0], ['https://www.cfcindia.org/wftw/the-glory-of-a-true-servant-of-god', 8.148665766222965, 0], ['https://www.cfcindia.org/wftw/the-principle-of-fellowship-in-prayer', 8.32421318509096, 0], ['https://www.cfcindia.org/wftw/the-true-meaning-of-burnt-offering', 7.5445836270859825, 0], ['https://www.cfcindia.org/wftw/god-tests-us-in-the-ordinary-things-of-life', 9.03960887376959, 0], ['https://www.cfcindia.org/wftw/acknowledge-your-need-of-help-from-others', 6.025128418696167, 0], ['https://www.cfcindia.org/wftw/thy-kingdom-come', 9.309913282800064, 0], ['https://www.cfcindia.org/wftw/power-of-repetition', 9.89721640911419, 0], ['https://www.cfcindia.org/wftw/taking-the-yoke-of-jesus-upon-us', 2.668485206012644, 0], ['https://www.cfcindia.org/wftw/called-by-god-0', 8.501701980925402, 0], ['https://www.cfcindia.org/wftw/the-lords-promises-to-a-faithful-church', 8.74408710127025, 0], ['https://www.cfcindia.org/wftw/believe-in-gods-wisdom-and-gods-love', 6.569091325093652, 0], ['https://www.cfcindia.org/wftw/you-can-triumph-over-all-the-opposition-of-the-enemy', 9.399289695239728, 0], ['https://www.cfcindia.org/wftw/all-of-gods-commandments-are-for-our-good', 5.723191065114721, 0], ['https://www.cfcindia.org/wftw/beware-of-missing-gods-plan-for-your-life', 6.20698373032993, 0], ['https://www.cfcindia.org/wftw/god-is-looking-for-love-slaves', 6.383339171813765, 0], ['https://www.cfcindia.org/wftw/god-is-looking-for-love-slaves', 8.984609292086398, 0], ['https://www.cfcindia.org/wftw/gods-command-for-husbands-and-wives', 11.27461941586893, 0], ['https://www.cfcindia.org/wftw/victory-through-faith-in-the-love-of-god', 9.784329544359737, 0], ['https://www.cfcindia.org/wftw/deliverance-from-satans-power', 7.844063962121115, 0], ['https://www.cfcindia.org/wftw/the-importance-of-disciplining-our-body', 0, 0], ['https://www.cfcindia.org/wftw/lessons-on-spiritual-decline-series-1', 6.724060495003653, 0], ['https://www.cfcindia.org/wftw/the-great-need-for-shepherds-after-gods-own-heart', 7.936134571117153, 0], ['https://www.cfcindia.org/wftw/do-not-be-ignorant-of-your-true-spiritual-condition', 7.102145797745046, 0], ['https://www.cfcindia.org/wftw/importance-of-unity-in-a-home', 2.620601740281017, 0], ['https://www.cfcindia.org/wftw/discerning-between-gods-approval-and-gods-blessing', 7.856157252733873, 0], ['https://www.cfcindia.org/wftw/discerning-between-gods-approval-and-gods-blessing', 9.792259998630394, 0], ['https://www.cfcindia.org/wftw/the-value-of-persistence', 7.350287694884572, 0], ['https://www.cfcindia.org/wftw/an-interesting-example-of-bodyministry-in-the-old-testament', 7.417220139468917, 0], ['https://www.cfcindia.org/wftw/the-true-meaning-of-amen', 0.5805788205045128, 0], ['https://www.cfcindia.org/wftw/rehoboth-the-lord-has-made-room-for-us', 11.241282294709462, 0], ['https://www.cfcindia.org/wftw/confidence-in-gods-love', 9.313421528173057, 0], ['https://www.cfcindia.org/wftw/the-obedient-will-be-blessed', 12.204127204183251, 0], ['https://www.cfcindia.org/wftw/ministry-of-intercession-0', 10.939182972124396, 0], ['https://www.cfcindia.org/wftw/a-godly-man', 10.682028641278032, 0], ['https://www.cfcindia.org/wftw/the-power-of-humble-service-and-music', 8.347292911273561, 0], ['https://www.cfcindia.org/wftw/king-saul-a-man-who-started-well', 0, 0], ['https://www.cfcindia.org/wftw/revival', 1.2698173725808466, 0], ['https://www.cfcindia.org/wftw/fulfil-your-calling', 6.49350484931619, 0], ['https://www.cfcindia.org/wftw/a-loveslave', 7.1423732447870405, 0], ['https://www.cfcindia.org/wftw/have-faith-that-god-will-make-you-a-blessing-to-many', 10.46688509051002, 0], ['https://www.cfcindia.org/wftw/examples-of-three-faithful-men', 5.79236525580154, 0], ['https://www.cfcindia.org/wftw/unity-in-variety', 9.484792502673201, 0], ['https://www.cfcindia.org/wftw/proclaim-the-victory-of-christ-over-satan', 0, 0], ['https://www.cfcindia.org/wftw/fulfilling-our-calling-0', 10.384820795726261, 0], ['https://www.cfcindia.org/wftw/obedience-sufferingpart-of-our-syllabus-in-spiritual-education', 10.752899890970012, 0], ['https://www.cfcindia.org/wftw/importance-of-fellowship-with-god-hearing-his-voice', 9.949642892117255, 0], ['https://www.cfcindia.org/wftw/the-endowment-of-power-and-the-variety-of-the-spirits-working', 6.384480475198998, 0], ['https://www.cfcindia.org/wftw/lukewarmness', 8.819724173385731, 0], ['https://www.cfcindia.org/wftw/four-reasons-why-god-blessed-jacob', 4.1295309247228556e-07, 0], ['https://www.cfcindia.org/wftw/be-filled-with-the-holy-spirit', 0, 0], ['https://www.cfcindia.org/wftw/the-pathway-of-increasing-light', 0, 0], ['https://www.cfcindia.org/wftw/are-you-a-coworker-with-satan-or-with-the-lord-jesus', 7.0705403455583955, 0], ['https://www.cfcindia.org/wftw/living-in-the-will-of-god-0', 10.186978709616673, 0], ['https://www.cfcindia.org/wftw/grace', 6.291409282153816, 0], ['https://www.cfcindia.org/wftw/gods-perfect-plan-for-those-who-have-failed', 9.371960503394163, 0], ['https://www.cfcindia.org/wftw/the-spirit-filled-life', 8.688000803273113, 0], ['https://www.cfcindia.org/wftw/humbling-oneself', 7.101776524596419, 0], ['https://www.cfcindia.org/wftw/jesus-tempted-as-we-are', 6.745752659000975, 0], ['https://www.cfcindia.org/wftw/the-spirit-of-prophecy', 7.128342439661262, 0], ['https://www.cfcindia.org/wftw/the-humble-receive-grace-and-revelation-0', 15.281787375469829, 0], ['https://www.cfcindia.org/wftw/sovereignty-of-god', 8.203634033746503, 0], ['https://www.cfcindia.org/wftw/mans-extremity-gods-opportunity', 16.012855832693106, 0], ['https://www.cfcindia.org/wftw/our-attitude-to-corrections', 7.826954704153705, 0], ['https://www.cfcindia.org/wftw/the-holy-spirit-and-gods-word', 13.058356981201554, 0], ['https://www.cfcindia.org/wftw/human-insufficiency', 7.895183531690474, 0], ['https://www.cfcindia.org/wftw/shepherds-and-hirelings', 8.604250692003085, 0], ['https://www.cfcindia.org/wftw/true-and-false-prophets-0', 7.492082254819082, 0], ['https://www.cfcindia.org/wftw/fulfilling-our-calling', 0, 0], ['https://www.cfcindia.org/wftw/fulfilling-our-calling', 12.941476610776663, 0], ['https://www.cfcindia.org/wftw/continuous-enlargement', 15.311117706035416, 0], ['https://www.cfcindia.org/wftw/gods-dealings-are-all-in-love', 7.000025966818002, 0], ['https://www.cfcindia.org/wftw/a-loving-father-0', 10.898207167517686, 0], ['https://www.cfcindia.org/wftw/a-loving-father-0', 9.18443855693499, 0], ['https://www.cfcindia.org/wftw/no-confidence-in-ourselves', 6.730999324718802, 0], ['https://www.cfcindia.org/wftw/what-a-happy-year-it-will-be', 10.90015570268491, 0], ['https://www.cfcindia.org/wftw/nobody-can-harm-us-except-we-ourselves', 6.4316862033139754, 0], ['https://www.cfcindia.org/wftw/nobody-can-harm-us-except-we-ourselves', 16.5428692448437, 0], ['https://www.cfcindia.org/wftw/taking-gods-word-seriously-0', 0.8502782437901626, 0], ['https://www.cfcindia.org/wftw/a-loving-father', 10.898207167517686, 0], ['https://www.cfcindia.org/wftw/fellowship', 13.530126190638422, 0], ['https://www.cfcindia.org/wftw/fellowship', 7.737723065655856, 0], ['https://www.cfcindia.org/wftw/true-and-false-prophets', 6.773762047833291, 0], ['https://www.cfcindia.org/wftw/progressive-sanctification', 5.9719772166430065, 0], ['https://www.cfcindia.org/wftw/living-for-the-glory-of-god', 11.777529533106213, 0], ['https://www.cfcindia.org/wftw/taking-gods-word-seriously', 11.320708948794694, 0], ['https://www.cfcindia.org/article/five-sins-that-jesus-hated-most', 10.93130537994673, 0], ['https://www.cfcindia.org/article/clearing-our-debts', 6.135403403607759, 0], ['https://www.cfcindia.org/article/be-filled-with-the-holy-spirit', 5.883032289458981, 0], ['https://www.cfcindia.org/article/road-rules-for-the-new-year', 6.834201051912916, 0], ['https://www.cfcindia.org/article/have-patience-with-me', 9.072164134466622, 0]]"
thorns,"[['https://www.cfcindia.org/wftw/the-lord-loves-us-despite-all-our-limitations', 15.266994480753867, 3], ['https://www.cfcindia.org/wftw/the-lord-loves-us-despite-all-our-limitations', 7.1730324864176, 3], ['https://www.cfcindia.org/wftw/two-fundamental-principles-of-ministry-of-the-word', 7.7604990650679655, 1], ['https://www.cfcindia.org/wftw/the-love-of-god-for-his-people', 8.40224495752426, 1]]"
jealously,"[['https://www.cfcindia.org/wftw/old-covenant-and-new-covenant-prophets', 9.030984510720588, 3]]"
generosity,"[['https://www.cfcindia.org/wftw/do-not-trust-in-your-own-righteousness', 9.297137361734311, 1]]"
vehicle,"[['https://www.cfcindia.org/article/the-creation-of-the-earth-and-the-origin-of-satan', 11.813036093961271, 1]]"
scum,"[['https://www.cfcindia.org/wftw/true-servants-of-christ', 9.073346240894123, 1], ['https://www.cfcindia.org/wftw/faith-tested-by-fire', 8.251186227951203, 1], ['https://www.cfcindia.org/wftw/we-are-called-to-be-rejected-and-persecuted-by-men', 8.510078947702986, 1]]"
town,"[['https://www.cfcindia.org/wftw/the-power-of-repetition', 10.985182888003527, 1], ['https://www.cfcindia.org/wftw/mary-a-splendid-example-for-all-believers', 9.858661132033184, 1], ['https://www.cfcindia.org/wftw/moving-from-babylon-to-jerusalem', 10.450606311307398, 2], ['https://www.cfcindia.org/wftw/one-uncompromising-man', 9.415751718136393, 1], ['https://www.cfcindia.org/wftw/shepherds-after-gods-own-heart', 10.63385151335203, 1], ['https://www.cfcindia.org/wftw/a-godly-young-woman', 10.490639110054005, 1], ['https://www.cfcindia.org/wftw/unbelief-is-the-root-cause-of-all-the-other-sins', 10.076505076867976, 1], ['https://www.cfcindia.org/wftw/don%E2%80%99t-be-impressed-by-the-numerical-growth-of-a-church', 9.613392867266334, 2], ['https://www.cfcindia.org/wftw/antipas-a-faithful-witness', 11.110488896246663, 1], ['https://www.cfcindia.org/wftw/do-not-glory-in-your-family-background', 12.064559784263935, 1], ['https://www.cfcindia.org/wftw/the-true-meaning-of-burnt-offering', 9.46255469729222, 1], ['https://www.cfcindia.org/wftw/a-true-servant-of-god-will-neither-be-popular-nor-be-able-to-make-money', 10.274391833907465, 2], ['https://www.cfcindia.org/wftw/power-of-repetition', 11.197057373819709, 1], ['https://www.cfcindia.org/wftw/a-small-sin-and-a-great-sin', 9.675562930186828, 1], ['https://www.cfcindia.org/wftw/value-the-approval-of-god-more-than-the-approval-of-men', 9.945116303162141, 2], ['https://www.cfcindia.org/wftw/daniel-a-man-of-vision', 9.646382965772162, 1]]"
desperation,"[['https://www.cfcindia.org/wftw/do-not-lead-us-into-temptation-but-deliver-us-from-evil-matthew-613', 10.725359292757272, 1]]"
lazarus,"[['https://www.cfcindia.org/wftw/the-weakness-of-gods-elect', 11.226572284474305, 1]]"
strife,"[['https://www.cfcindia.org/wftw/a-church-triumphant-over-satan', 11.039948560344259, 1]]"
